,mcc,sens,spec,prec,acc,FDR,FPR,PPV,NPV,mism,wspec,tversky,balanced_acc,dice
MRI_289.nii.gz,0.290041652,0.094978683,0.9997162,0.917620137,0.970573425,0.082379863,0.0002838,0.917620137,0.970750565,0.172139944,0.997451588,0.129920622,0.547347442,0.172139944
MRI_175.nii.gz,0.785309772,0.743995313,0.999013197,0.831696136,0.9973526,0.168303864,0.000986803,0.831696136,0.99832321,0.785405071,0.991188336,0.76830006,0.871504255,0.785405071
MRI_897.nii.gz,0.920403573,0.873689228,0.999788499,0.970868644,0.998779297,0.029131356,0.000211501,0.970868644,0.998981772,0.919719017,0.998099706,0.900737101,0.936738863,0.919719017
MRI_374.nii.gz,0.482788261,0.255695835,0.999311489,0.953721245,0.960216522,0.046278755,0.000688511,0.953721245,0.960309384,0.403272873,0.993837344,0.327634136,0.627503662,0.403272873
MRI_836.nii.gz,0.942939838,0.934107076,0.999525962,0.953017571,0.998859406,0.046982429,0.000474038,0.953017571,0.999321841,0.943467574,0.995749778,0.939700953,0.966816519,0.943467574
MRI_577.nii.gz,0.967257898,0.96969697,0.999629875,0.965517241,0.999313354,0.034482759,0.000370125,0.965517241,0.999676126,0.967602592,0.996678711,0.968439256,0.984663422,0.967602592
MRI_778.nii.gz,0.932622067,0.87,1,1,0.999752045,0,0,1,0.999751633,0.930481283,1,0.905306972,0.935,0.930481283
MRI_219.nii.gz,0.828791322,0.904678363,0.9944789,0.765841584,0.992721558,0.234158416,0.0055211,0.765841584,0.99809047,0.829490617,0.952412005,0.85801442,0.949578631,0.829490617
MRI_203.nii.gz,0.791220473,0.717065868,0.999736113,0.874087591,0.999015808,0.125912409,0.000263887,0.874087591,0.999277512,0.787828947,0.997630024,0.757911392,0.858400991,0.787828947
MRI_332.nii.gz,0.754669101,0.57079646,1,1,0.997779846,0,0,1,0.997773272,0.726760563,1,0.655154901,0.78539823,0.726760563
MRI_073.nii.gz,0.882945223,0.872356495,0.998462265,0.897203521,0.996551514,0.102796479,0.001537735,0.897203521,0.998037029,0.884605565,0.986328573,0.87966489,0.93540938,0.884605565
MRI_280.nii.gz,0.943503292,0.982820846,0.997319928,0.908702616,0.996936798,0.091297384,0.002680072,0.908702616,0.999532696,0.944309592,0.976385655,0.959346157,0.990070387,0.944309592
MRI_467.nii.gz,0.884936308,0.825,0.999919744,0.949640288,0.999599457,0.050359712,8.03E-05,0.949640288,0.999679055,0.882943144,0.999278163,0.858815875,0.912459872,0.882943144
MRI_389.nii.gz,0.962462181,0.973805855,0.999631049,0.951807229,0.99943924,0.048192771,0.000368951,0.951807229,0.999803961,0.962680883,0.996689211,0.96710023,0.986718452,0.962680883
MRI_191.nii.gz,0.392965898,0.986587183,0.986579876,0.158714936,0.986579895,0.841285064,0.013420124,0.158714936,0.999965113,0.273440727,0.890928871,0.384660081,0.98658353,0.273440727
MRI_163.nii.gz,0.773294298,0.74200299,0.99565871,0.817388441,0.989185333,0.182611559,0.00434129,0.817388441,0.993259682,0.777873541,0.96223981,0.763117035,0.86883085,0.777873541
MRI_211.nii.gz,0.887386062,0.865625,0.999276656,0.9116126,0.998134613,0.0883874,0.000723344,0.9116126,0.998842383,0.888023815,0.99352736,0.878926613,0.932450828,0.888023815
MRI_634.nii.gz,0.884725341,0.950909091,0.999571856,0.823622047,0.999469757,0.176377953,0.000428144,0.823622047,0.999896753,0.882700422,0.996159854,0.908774978,0.975240473,0.882700422
MRI_905.nii.gz,0.767992691,0.881569208,0.997764511,0.671364149,0.99716568,0.328635851,0.002235489,0.671364149,0.99938549,0.76224,0.980234087,0.805873198,0.939666859,0.76224
MRI_517.nii.gz,0.906521721,0.993436375,0.99627847,0.830442478,0.996227264,0.169557522,0.00372153,0.830442478,0.999879139,0.904656319,0.967474584,0.938193597,0.994857423,0.904656319
